id,resource_id,osm_id
1,1,27561299
2,1,239440322
3,1,77602813
4,1,2278960580
5,1,218932326
6,1,164344748
7,1,161773745
8,1,239127026
9,1,221552585
10,1,457032496
11,1,3205367
12,2,239440322
13,2,12009092577
14,2,27561299
15,2,25906386
16,2,2518957272
17,2,500004619
18,2,557779543
19,2,218932326
20,2,161305571
21,2,221492099
22,2,2278960580
23,2,164344748
24,2,279294217
25,2,144820338
26,2,221552585
27,2,5942592985
28,2,134442351
29,2,499993801
30,2,16134881
31,2,8455122971
32,2,25188564
33,3,218932326
34,3,221552585
35,3,27561299
36,3,165353429
37,3,152204306
38,3,279294217
39,3,557944917
40,4,9088101968
41,4,218932326
42,4,27561299
43,4,112588888
44,4,279294217
45,4,144820338
46,4,499993801
47,4,47203
48,4,282460231
49,4,5942592985
50,4,51676862
51,5,239440322
52,5,218932326
53,5,221552585
54,5,499993801
55,5,591413935
56,5,279294217
57,5,25906386
58,5,412821
59,6,6224130
60,6,24895171
61,6,102310879
62,6,888374936
63,6,97550753
64,6,211751830
65,6,842133008
66,7,152266832
67,7,191109552
68,7,527880834
69,7,40885478
70,7,692244449
71,7,41964731
72,7,3966735015
73,7,8891086186
74,8,47252
75,8,223161029
76,8,10727394
77,8,619865887
78,8,2453992857
79,8,2749545381
80,8,224082205
81,9,14517899
82,9,9795244
83,9,2460530881
84,10,4702284
85,10,764655793
86,10,25188564
87,10,2453992857
88,10,58149407
89,11,241142172
90,11,6668800
91,12,239440322
92,12,137323018
93,12,239127026
94,12,221552585
95,12,2301088436
96,12,218932326
97,12,27561299
98,12,499993801
99,12,221492099
100,13,6060186
101,13,25188564
102,13,499993801
103,13,112588888
104,13,259022256
105,13,557788693
106,14,6028416532
107,14,3581774
108,14,4421947
109,14,373272472
110,14,7633165
111,14,3205367
112,14,102329273
113,15,218932326
114,15,279294217
115,15,144820338
116,16,16134881
117,16,14119655
118,17,14517899
119,17,25188564
120,17,764655793
121,17,457032496
122,17,2460530881
123,17,1434128515
124,17,2749674147
125,17,42108886
126,18,239440322
127,18,30336158
128,18,27561299
129,18,221492099
130,19,418823736
131,19,23594307
132,19,69315539
133,19,343906867
134,19,1297402270
135,20,983124134
136,20,655228960
137,20,29494632
138,20,2426731321
139,20,42316314
140,20,223530229
141,20,150551160
142,20,321223196
143,20,362253228
144,20,218932326
145,20,4244216790
146,21,300520844
147,21,3205367
148,21,41877347
149,21,121839252
150,21,1290741187
151,21,97943389
152,21,237016903
153,21,356953025
154,21,14517899
155,21,118608749
156,21,25188564
157,22,527880834
158,22,457032496
159,22,40885478
160,22,2749674147
161,22,121290937
162,22,9812706285
163,22,14517899
164,22,3205367
165,22,386054113
166,22,25188564
167,22,3173990
168,22,7761714495
169,22,1623822124
170,22,10983867478
171,22,236276410
172,22,9795244
173,22,102329273
174,22,983124134
175,22,150551160
176,22,33094226
177,22,10825181
178,22,100878076
179,22,14119655
180,22,4244216790
181,23,239440322
182,23,218932326
183,23,500004619
184,23,768139533
185,24,831340661
186,24,1297402270
187,24,2755811424
188,24,831340674
189,25,221552585
190,25,2301088436
191,25,221492099
192,25,134442351
193,25,10855612344
194,26,11314101288
195,26,500004622
196,26,4728979210
197,26,166706010
198,26,9235196671
199,27,842133008
200,27,412821
201,27,551646739
202,27,556364624
203,28,361227677
204,28,457032496
205,28,14517899
206,28,25188564
207,28,15452009
208,28,3686635068
209,28,118608749
210,28,457032496
211,28,312683469
212,28,99343072
213,29,342950166
214,29,239440322
215,29,218932326
216,29,27561299
217,29,499993801
218,29,412821
219,29,221552585
220,29,235586193
221,29,221492099
222,29,2518957272
223,29,362253228
224,29,25188564
225,30,27561299
226,30,164344748
227,30,77602813
228,30,239127026
229,30,218932326
230,31,69323571
231,31,579971438
232,31,12160592173
233,31,112513247
234,31,14119655
235,31,14517899
236,31,33094226
237,31,221552585
238,31,235586193
239,31,125147364
240,31,59075540
241,31,164433883
242,31,239127026
243,31,43029974
244,31,559993374
245,31,51679253
246,31,734956527
247,31,4421947
248,31,1297402270
249,31,8441264653
250,31,299856749
251,31,167238823
252,31,2403497008
